Population	gene	refcn	num_exon	num_samples	is_ref	nocall_rate	Comb_conc	Ref_conc	Nonref_conc
EAS	C1QTNF9	4	2	506	506	0.013	1.0000	1.0000	NA
EAS	C4A	4	41	506	299	0.008	0.9830	0.9962	0.9661
EAS	CATSPER2	4	12	506	489	0.003	0.9975	1.0000	0.9299
EAS	CCDC74A	4	8	506	496	0.007	0.9958	0.9957	1.0000
EAS	CD8B	4	5	506	505	0.042	1.0000	1.0000	1.0000
EAS	CDK11A	4	16	245	223	0.025	0.9972	1.0000	0.9716
EAS	CDRT1	4	13	506	506	0.000	1.0000	1.0000	NA
EAS	CEL	4	5	245	195	0.050	0.9905	0.9941	0.9756
EAS	CELA3A	4	7	506	464	0.007	1.0000	1.0000	1.0000
EAS	CEP170_refcn4	4	15	245	245	0.002	1.0000	1.0000	NA
EAS	CFC1	4	6	506	506	0.014	1.0000	1.0000	NA
EAS	CHRNA7	4	6	506	428	0.011	1.0000	1.0000	1.0000
EAS	CKMT1A	4	9	506	490	0.004	1.0000	1.0000	1.0000
EAS	CLEC18A	6	12	506	215	0.125	0.7734	0.8025	0.7551
EAS	CSH1_refcn4	4	2	506	506	0.053	1.0000	1.0000	NA
EAS	CSH1_refcn6	6	3	506	129	0.128	0.6893	0.9877	0.6163
EAS	CTRB1	4	5	506	506	0.079	0.9832	0.9832	NA
EAS	CYP11B1	4	6	506	506	0.013	1.0000	1.0000	NA
EAS	CYP21A2	4	10	506	339	0.045	0.9543	0.9642	0.9375
EAS	CYP2D6	4	9	506	218	0.088	0.0397	0.0679	0.0226
EAS	CYP2F1	4	5	506	506	0.016	1.0000	1.0000	NA
EAS	CYP4A11	4	11	506	506	0.000	1.0000	1.0000	NA
EAS	CYP4Z1	4	8	506	488	0.012	0.9977	0.9982	0.9806
EAS	DDX11_refcn6	6	25	506	505	0.003	0.9994	0.9994	1.0000
EAS	DEFB103A	4	2	506	501	0.000	1.0000	NA	1.0000
EAS	DEFB104A	4	2	506	221	0.096	0.9976	1.0000	0.9961
EAS	DEFB105A	4	3	506	305	0.053	0.9969	1.0000	0.9947
EAS	DEFB106A	4	2	506	244	0.056	0.9926	1.0000	0.9877
EAS	DEFB107A	4	2	245	163	0.129	1.0000	1.0000	1.0000
EAS	DEFB4A	4	2	506	430	0.063	1.0000	1.0000	1.0000
EAS	DHX40	4	11	506	499	0.001	1.0000	1.0000	1.0000
EAS	EIF3C	4	20	506	380	0.015	0.9963	0.9949	1.0000
EAS	EMB_refcn4	4	6	506	506	0.009	1.0000	1.0000	NA
EAS	FAM185A	4	7	95	95	0.000	1.0000	1.0000	NA
EAS	FBXW10	4	12	506	506	0.000	1.0000	1.0000	NA
EAS	FCGBP	4	18	506	50	0.036	0.9165	0.2500	0.9225
EAS	FCGR1A	6	6	506	369	0.017	0.9978	1.0000	0.9926
EAS	FCGR3A	4	5	506	358	0.015	0.9995	1.0000	0.9983
EAS	FKBP9	4	9	506	499	0.000	0.9986	1.0000	0.9048
EAS	FOLH1	4	18	506	503	0.001	0.9998	1.0000	0.9630
EAS	GBA	4	6	506	506	0.007	0.9979	0.9979	NA
EAS	GBP1	4	2	506	506	0.038	1.0000	1.0000	NA
EAS	GPR89A	4	14	506	500	0.002	1.0000	1.0000	1.0000
EAS	GRAP	4	3	506	250	0.053	0.9889	0.9901	0.9879
EAS	GSTT2	4	4	506	197	0.000	0.9906	0.9831	0.9935
EAS	GTF2H2	6	15	506	50	0.034	0.9594	0.9444	0.9600
EAS	GTF2I	6	22	506	418	0.055	0.9248	0.9856	0.6521
EAS	HBG1	4	3	506	502	0.016	1.0000	1.0000	1.0000
EAS	IFNL2	4	6	506	506	0.030	1.0000	1.0000	NA
EAS	KIF27	4	15	506	506	0.000	1.0000	1.0000	NA
EAS	KRT6A	6	5	506	506	0.033	1.0000	1.0000	NA
EAS	KRT81	4	3	506	506	0.011	1.0000	1.0000	NA
EAS	LGALS7	4	4	506	506	0.199	1.0000	1.0000	NA
EAS	LIMS1	6	9	506	504	0.009	0.9979	1.0000	0.5000
EAS	LYZL1	4	3	506	506	0.021	1.0000	1.0000	NA
EAS	MSTO1	4	14	506	506	0.001	1.0000	1.0000	NA
EAS	MTX1	4	5	506	500	0.024	1.0000	1.0000	1.0000
EAS	NCF1	6	11	506	493	0.091	0.9925	0.9923	1.0000
EAS	NOMO1_refcn6	6	22	506	405	0.003	0.9949	0.9966	0.9887
EAS	NOX4	4	10	506	506	0.001	1.0000	1.0000	NA
EAS	OBP2A	4	4	506	506	0.141	1.0000	1.0000	NA
EAS	OCLN	4	5	506	95	0.011	0.8979	0.9500	0.8902
EAS	ORM1	4	6	506	413	0.009	0.9891	0.9973	0.9560
EAS	OTOA	4	9	506	65	0.008	0.9979	1.0000	0.9977
EAS	PDPK1	4	9	506	487	0.001	0.9981	1.0000	0.9532
EAS	PDPR	4	15	245	128	0.010	0.9378	0.9091	0.9652
EAS	PDZK1	4	7	506	500	0.000	1.0000	1.0000	1.0000
EAS	PPIP5K1	4	26	506	490	0.001	0.9992	0.9992	1.0000
EAS	PRB1	4	4	506	447	0.116	0.9499	0.9588	0.8958
EAS	RABL2A	4	8	506	506	0.000	1.0000	1.0000	NA
EAS	RHCE	4	10	506	459	0.008	0.9973	0.9990	0.9820
EAS	ROPN1	4	3	506	506	0.006	1.0000	1.0000	NA
EAS	RRP7A	4	6	506	388	0.070	0.9887	0.9911	0.9806
EAS	RSPH10B	4	19	506	505	0.000	1.0000	1.0000	1.0000
EAS	SAA1	4	2	506	506	0.079	1.0000	1.0000	NA
EAS	SERF1A	4	3	506	317	0.059	0.9769	0.9728	0.9831
EAS	SERHL2	4	9	506	383	0.040	1.0000	1.0000	1.0000
EAS	SERPINB3	4	5	506	32	0.006	0.6025	NA	0.6025
EAS	SMN1	4	9	506	317	0.008	1.0000	1.0000	1.0000
EAS	SMPD4	4	18	506	496	0.001	0.9998	1.0000	0.9882
EAS	SPAG11A	4	4	506	211	0.086	0.9626	0.9709	0.9574
EAS	STRC	4	28	506	490	0.002	0.9989	0.9989	1.0000
EAS	SUZ12	4	8	506	506	0.006	1.0000	1.0000	NA
EAS	TCP10L2	4	6	506	506	0.082	1.0000	1.0000	NA
EAS	THOC3	4	6	506	506	0.007	1.0000	1.0000	NA
EAS	TIMM23	4	7	506	505	0.002	1.0000	1.0000	1.0000
EAS	TRIM16	4	7	506	506	0.000	1.0000	1.0000	NA
EAS	TRIM49	6	6	506	501	0.037	0.9890	0.9889	1.0000
EAS	TRIM74	6	4	506	500	0.059	1.0000	1.0000	1.0000
EAS	TUBA3D	4	5	506	497	0.015	0.9962	0.9961	1.0000
EAS	TVP23B	4	7	506	506	0.004	1.0000	1.0000	NA
EAS	UGT2B15	4	2	506	48	0.057	0.7136	0.9167	0.7080
EAS	XCL1	4	3	506	506	0.025	1.0000	1.0000	NA
EAS	ZNF443	4	3	506	505	0.019	1.0000	1.0000	1.0000
EAS	ZNF658	4	4	506	344	0.029	0.9783	0.9903	0.9539
EAS	ZNF773	4	3	506	505	0.034	0.9989	1.0000	0.5000
EUR	ABCC6_refcn4	4	5	506	482	0.014	0.9979	1.0000	0.9545
EUR	ACOT1	4	3	506	150	0.019	0.9979	1.0000	0.9972
EUR	ACSM2A	4	12	506	506	0.000	1.0000	1.0000	NA
EUR	ACSM5	4	11	506	506	0.006	0.9955	0.9955	NA
EUR	ACTR3B	4	8	506	503	0.002	0.9992	1.0000	0.8750
EUR	AKR1B10	4	4	506	506	0.008	1.0000	1.0000	NA
EUR	AKR1C1	4	7	506	506	0.003	1.0000	1.0000	NA
EUR	AKR7A3	4	3	506	506	0.044	1.0000	1.0000	NA
EUR	ALPP	4	7	506	158	0.032	0.8954	1.0000	0.8545
EUR	ANXA8_refcn4	4	11	506	406	0.004	0.9938	0.9974	0.9800
EUR	AQP12A	4	3	506	504	0.170	1.0000	1.0000	1.0000
EUR	ATAD3A_refcn4	4	10	506	494	0.026	0.9908	0.9913	0.9722
EUR	BMP8A	4	5	506	506	0.016	1.0000	1.0000	NA
EUR	C1QTNF9	4	2	506	506	0.027	1.0000	1.0000	NA
EUR	C4A	4	41	506	286	0.004	0.9680	0.9847	0.9482
EUR	CATSPER2	4	12	506	488	0.001	0.9890	0.9914	0.9267
EUR	CCDC74A	4	8	506	505	0.019	1.0000	1.0000	1.0000
EUR	CD8B	4	5	506	504	0.058	1.0000	1.0000	1.0000
EUR	CDK11A	4	16	337	297	0.014	0.9936	0.9927	1.0000
EUR	CDRT1	4	13	506	505	0.000	0.9983	1.0000	0.2000
EUR	CEL	4	5	337	311	0.064	0.9871	0.9926	0.9250
EUR	CELA3A	4	7	506	480	0.006	1.0000	1.0000	1.0000
EUR	CEP170_refcn4	4	15	337	337	0.000	1.0000	1.0000	NA
EUR	CFC1	4	6	506	506	0.017	0.9992	0.9992	NA
EUR	CHRNA7	4	6	506	413	0.007	1.0000	1.0000	1.0000
EUR	CKMT1A	4	9	506	488	0.003	0.9875	0.9913	0.8889
EUR	CSH1_refcn4	4	2	506	499	0.091	1.0000	1.0000	1.0000
EUR	CSH1_refcn6	6	3	506	214	0.178	0.7404	0.9932	0.5868
EUR	CTRB1	4	5	506	506	0.104	0.9849	0.9849	NA
EUR	CYP11B1	4	6	506	506	0.025	1.0000	1.0000	NA
EUR	CYP21A2	4	10	506	308	0.070	0.9705	0.9805	0.9565
EUR	CYP2D6	4	9	506	407	0.064	0.9819	0.9831	0.9775
EUR	CYP2F1	4	5	506	505	0.017	0.9993	1.0000	0.6667
EUR	CYP4A11	4	11	506	505	0.000	1.0000	1.0000	1.0000
EUR	CYP4Z1	4	8	506	506	0.001	1.0000	1.0000	NA
EUR	DDX11_refcn6	6	25	506	505	0.017	0.9983	1.0000	0.2000
EUR	DEFB103A	4	2	506	380	0.048	1.0000	1.0000	1.0000
EUR	DEFB104A	4	2	506	215	0.115	0.9929	0.9943	0.9920
EUR	DEFB105A	4	3	506	252	0.083	0.9948	0.9935	0.9957
EUR	DEFB106A	4	2	506	235	0.119	1.0000	1.0000	1.0000
EUR	DEFB107A	4	2	337	177	0.141	0.9463	0.9444	0.9478
EUR	DEFB4A	4	2	506	371	0.125	0.9829	0.9915	0.9744
EUR	DHX40	4	11	506	506	0.000	1.0000	1.0000	NA
EUR	EIF3C	4	20	506	406	0.004	0.9997	0.9996	1.0000
EUR	EMB_refcn4	4	6	506	503	0.025	1.0000	1.0000	1.0000
EUR	FAM185A	4	7	156	156	0.000	1.0000	1.0000	NA
EUR	FBXW10	4	12	506	505	0.000	0.9981	1.0000	0.0909
EUR	FCGBP	4	18	506	42	0.070	0.9430	0.3000	0.9577
