gene_type	gene	refcn	num_exon	num_samples	is_ref	is_nonref	nocall_rate	comb_acc_f1	ref_acc_f1	nref_acc_f1	comb_acc_f2	ref_acc_f2	nref_acc_f2
type_3	THOC3	4	6	506	505	1	0.0041	0.9979	1.0000	0.0000	NA	NA	NA
type_3	ZNF658	4	4	506	478	28	0.0124	0.9979	1.0000	0.9615	NA	NA	NA
type_4	CD177	4	4	506	506	0	0.4545	1.0000	1.0000	NA	0.9640	0.9640	NA
type_4	CEL	4	5	337	311	26	0.0643	0.9871	0.9926	0.9250	NA	NA	NA
type_4	CYP2F1	4	5	506	505	1	0.0174	0.9993	1.0000	0.6667	NA	NA	NA
type_4	CYP4Z1	4	8	506	506	0	0.0013	1.0000	1.0000	NA	NA	NA	NA
type_4	FCGBP	4	18	506	42	464	0.0701	0.9430	0.3000	0.9577	NA	NA	NA
type_4	FKBP9	4	9	506	505	1	0.0000	1.0000	1.0000	1.0000	NA	NA	NA
type_4	FOLH1	4	18	506	498	8	0.0003	0.9987	1.0000	0.9236	NA	NA	NA
type_4	KIF27	4	15	506	501	5	0.0007	0.9998	1.0000	0.9846	NA	NA	NA
type_4	MMP23B	4	7	506	480	26	0.6301	0.8889	0.8839	1.0000	NA	NA	NA
type_4	MSTO1	4	14	506	505	1	0.0006	1.0000	1.0000	1.0000	NA	NA	NA
type_4	MTX1	4	5	506	503	3	0.0312	1.0000	1.0000	1.0000	NA	NA	NA
type_4	NOX4	4	10	506	504	2	0.0043	1.0000	1.0000	1.0000	NA	NA	NA
type_4	PPIP5K1	4	26	506	489	17	0.0044	0.9880	0.9897	0.9412	NA	NA	NA
type_4	PVRIG	4	3	506	506	0	0.3906	1.0000	1.0000	NA	NA	NA	NA
type_4	RRP7A	4	6	506	393	113	0.1137	0.9953	0.9971	0.9882	NA	NA	NA
type_4	SMPD4	4	18	506	505	1	0.0000	1.0000	1.0000	1.0000	NA	NA	NA
type_4	SUZ12	4	8	506	506	0	0.0104	1.0000	1.0000	NA	NA	NA	NA
type_4	TCP10L2	4	6	506	506	0	0.0380	1.0000	1.0000	NA	NA	NA	NA
type_split	ABCC6_refcn4	4	5	506	482	24	0.0141	0.9979	1.0000	0.9545	NA	NA	NA
type_split	ABCC6_refcn6	6	4	506	476	30	0.5000	0.9959	1.0000	0.8333	NA	NA	NA
type_split	ANXA8_refcn4	4	11	506	406	100	0.0041	0.9938	0.9974	0.9800	0.0884	0.1309	0.0819
type_split	ANXA8_refcn6	6	1	506	435	71	0.7671	0.9765	1.0000	0.8182	NA	NA	NA
type_split	ATAD3A_refcn4	4	10	506	494	12	0.0261	0.9908	0.9913	0.9722	0.1892	0.0500	0.2012
type_split	ATAD3A_refcn6	6	2	506	505	1	0.5484	1.0000	1.0000	NA	NA	NA	NA
type_split	CDRT15_refcn4	4	2	506	506	0	0.4801	1.0000	1.0000	NA	NA	NA	NA
type_split	CDRT15_refcn6	6	1	506	506	0	NA	NA	NA	NA	NA	NA	NA
type_split	CEP170_refcn4	4	15	337	337	0	0.0000	1.0000	1.0000	NA	NA	NA	NA
type_split	CEP170_refcn6	6	2	337	21	316	0.9810	0.4167	NA	0.4167	NA	NA	NA
type_split	CSH1_refcn4	4	2	506	499	7	0.0910	1.0000	1.0000	1.0000	0.4951	0.9655	0.4654
type_split	CSH1_refcn6	6	3	506	499	7	0.1783	0.9786	0.9948	0.0952	NA	NA	NA
type_split	DDX11_refcn4	4	1	506	24	482	0.9855	1.0000	NA	1.0000	NA	NA	NA
type_split	DDX11_refcn6	6	25	506	505	1	0.0174	0.9983	1.0000	0.2000	NA	NA	NA
type_split	EMB_refcn4	4	6	506	503	3	0.0248	1.0000	1.0000	1.0000	NA	NA	NA
type_split	EMB_refcn6	6	1	506	506	0	0.9527	1.0000	1.0000	NA	NA	NA	NA
type_split	GBA	4	6	506	506	0	0.0182	1.0000	1.0000	NA	NA	NA	NA
type_split	NOMO1_refcn6	6	22	506	473	33	0.0068	0.9885	0.9929	0.9294	0.8955	0.9047	0.7726
type_split	TPSAB1_refcn4	4	2	506	506	0	NA	NA	NA	NA	NA	NA	NA
type_split	TPSAB1_refcn6	6	3	506	506	0	NA	NA	NA	NA	NA	NA	NA
type_split	UPK3BL_refcn4	4	2	228	143	85	1.0000	NA	NA	NA	NA	NA	NA
type_split	UPK3BL_refcn6	6	7	397	239	158	0.7093	0.0429	0.0000	0.0456	NA	NA	NA
